2024-07-01 07:00:00,AlphaTetraloneTemp,450
2024-07-01 07:00:00,AlphaTetralonePress,46
2024-07-01 07:00:00,AlpjaTeraloneStreamTemp,337
2024-07-01 07:00:00,AlpjaTeraloneStreamPress,53
2024-07-01 07:00:00,DecompossionReactorPress1,58
2024-07-01 07:00:00,DecompossionReactorTemp1,123
2024-07-01 07:00:00,DehydrogenationReactorTemp,716
2024-07-01 07:00:00,DehydrogenationReactorPress,42
2024-07-01 07:00:00,Hydrogen-PSIA1-Press,1102
2024-07-01 07:00:00,Hydrogen-PSIA1-Temp,618
2024-07-01 07:00:00,MixerPress1,73
2024-07-01 07:00:00,MixerPress2,68
2024-07-01 07:00:00,MixerTemp1,554
2024-07-01 07:00:00,MixerTemp2,558
2024-07-01 07:00:00,NaphthonProduceValue,701
2024-07-01 07:00:00,NaphthonProduceValuePress,35
2024-07-01 07:00:00,OxidationReactorPressIN,69
2024-07-01 07:00:00,OxidationReactorPressOUT,63
2024-07-01 07:00:00,OXidationReactorTempIN,558
2024-07-01 07:00:00,OXidationReactorTempOUT,732
2024-07-01 07:00:00,Oxygen-PSIA1,213
2024-07-01 07:00:00,Oxygen-PSIA1-Press,73
2024-07-01 07:00:00,PressureValue1-Press,1081
2024-07-01 07:00:00,PressureValue1-Temp,752
2024-07-01 07:00:00,PressureValue2-Press,73
2024-07-01 07:00:00,PressureValue2-Temp,592
2024-07-01 07:00:00,PumpDischarge,248
2024-07-01 07:00:00,PumpDischargePress,588
2024-07-01 07:00:00,SeparatedStream,607
2024-07-01 07:00:00,SeparatedStreamPress,52
2024-07-01 07:00:00,TetralinPSIA1,1183
2024-07-01 07:00:00,TetralinPSIA1-Press,1099
2024-07-01 07:00:00,TetroloneAbsorber,604
2024-07-01 07:00:00,TetroloneAbsorberPress,46
2024-07-01 07:00:00,AlphaMixer,1
2024-07-01 07:00:00,PumpDischargeStatus,1
2024-07-01 07:00:00,PressureValueStatus,1
2024-07-01 07:00:00,Oxygen-PSIA-Status,1
2024-07-01 07:00:00,HydroperoxideValue,1
2024-07-01 07:00:00,DehydrogenationReactorValue,1
2024-07-01 07:00:00,FractionalDistillationUpMIXER,1
2024-07-01 07:00:00,AlphaTetralonTempDownMIXER,0
2024-07-01 05:31:00 +0330,AlphaTetraloneTemp,450
2024-07-01 05:31:00 +0330,AlphaTetralonePress,45
2024-07-01 05:31:00 +0330,AlpjaTeraloneStreamTemp,338
2024-07-01 05:31:00 +0330,AlpjaTeraloneStreamPress,53
2024-07-01 05:31:00 +0330,DecompossionReactorPress1,58
2024-07-01 05:31:00 +0330,DecompossionReactorTemp1,122
2024-07-01 05:31:00 +0330,DehydrogenationReactorTemp,716
2024-07-01 05:31:00 +0330,DehydrogenationReactorPress,41
2024-07-01 05:31:00 +0330,Hydrogen-PSIA1-Press,1103
2024-07-01 05:31:00 +0330,Hydrogen-PSIA1-Temp,617
2024-07-01 05:31:00 +0330,MixerPress1,73
2024-07-01 05:31:00 +0330,MixerPress2,68
2024-07-01 05:31:00 +0330,MixerTemp1,554
2024-07-01 05:31:00 +0330,MixerTemp2,558
2024-07-01 05:31:00 +0330,NaphthonProduceValue,700
2024-07-01 05:31:00 +0330,NaphthonProduceValuePress,36
2024-07-01 05:31:00 +0330,OxidationReactorPressIN,69
2024-07-01 05:31:00 +0330,OxidationReactorPressOUT,63
2024-07-01 05:31:00 +0330,OXidationReactorTempIN,558
2024-07-01 05:31:00 +0330,OXidationReactorTempOUT,732
2024-07-01 05:31:00 +0330,Oxygen-PSIA1,213
2024-07-01 05:31:00 +0330,Oxygen-PSIA1-Press,73
